"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-23","5.14",,"0.00","0.0","0.0","36","54","27","  210","  200","18.1","25.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-24","10.51",,"1.01","0.0","0.0","49","57","31","  280","  270","29.1","40.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-25","9.17",,"0.00","0.0","0.0","34","41","23","  270","  270","23.9","33.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-26","2.24",,"0.00","0.0","0.0","28","38","18","  110","  120","10.1","13.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-27","4.25",,"0.00","0.0","0.0","33","47","20","  320","  230","12.1","19.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-28","6.04",,"0.00","0.0","0.0","33","38","24","  330","  350","13.0","19.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-29","6.04",,"0.24","0.3","0.0","31","38","24","  310","  310","25.1","34.0","    1",,,"    1",,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-30","11.63",,"0.00","0.0","0.0","24","34","8","  290","  270","36.9","48.1",,,,,,,,"    1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-31","6.04",,"0.00","0.0","0.0","12","21","5","  290","  300","19.9","23.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-01","4.25",,"0.09","1.1","0.0","17","20","10","   50","   40","10.1","15.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-02","2.91",,"0.00","0.0","1.2","21","38","8","  240","  240","12.1","14.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-03","1.79",,"0.00","0.0","0.0","33","51","22","   70","   40","8.1","12.1","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-04","2.24",,"0.00","0.0","0.0","39","59","27","  100","   30","8.1","10.1","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-05","4.92",,"0.00","0.0","0.0","48","71","30","  280","  280","18.1","23.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-06","6.04",,"0.12","0.0","0.0","46","50","36","   70","  110","13.0","17.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-07","5.82",,"0.00","0.0","0.0","46","52","42","   90","   20","8.9","16.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-08","13.42",,"0.02","0.0","0.0","46","57","32","  280","  280","32.0","42.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-09","10.96",,"0.00","0.0","0.0","32","36","23","  300","  320","23.0","34.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-10","3.58",,"0.07","0.5","0.0","28","38","17","   90","   60","10.1","14.1","    1",,,"    1",,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-11","5.82",,"0.67","0.0","0.0","32","32","30","   60","   50","13.0","16.1","    1",,,"    1",,"    1",,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-12","9.17",,"0.81","0.0","0.0","32","35","30","   70","   70","18.1","23.0","    1","    1",,,,"    1",,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-13","11.41",,"0.00","0.0","0.0","38","46","32","  270","  270","25.9","33.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-14","5.37",,"0.00","0.0","0.0","39","52","26","  230","  130","13.0","19.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-15","10.07",,"0.00","0.0","0.0","52","66","42","  300","  160","19.9","29.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-16","9.17",,"0.00","0.0","0.0","45","50","32","  310","  310","23.0","35.1",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-17","5.37",,"0.21","0.0","0.0","33","37","26","  130","  130","15.0","21.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-18","10.51",,"0.28","0.0","0.0","39","48","33","  290","  300","31.1","38.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-02-19","6.04",,"0.00","0.0","0.0","34","41","26","  310","  310","13.0","21.0",,,,,,,,
